Index_Number,CE1023,,CS1033,,EE1040,,MA1014,,ME1033,,MT1023,,SGPA,Rank,,,,,,,,,
,Grade,Grade Point,Grade,Grade Point,Grade,Grade Point,Grade,Grade Point,Grade,Grade Point,Grade,Grade Point,,,,,,,,,,,
210165V,B,3,A-,3.7,A,4,,,,,A-,3.7,3.6111,372,,,,,,,,,
210166B,A,4,B-,2.7,A,4,,,,,B+,3.3,3.4111,483,,,,,,,,,
210167E,A,4,A,4,C+,2.3,,,,,A,4,3.6222,369,,,,,,,,,
210168H,B+,3.3,B,3,B,3,,,,,A-,3.7,3.2222,558,,,,,,,,,
210169L,A+,4,A-,3.7,B+,3.3,,,,,A+,4,3.7444,296,,,,,,,,,
210170G,A,4,A-,3.7,B+,3.3,,,,,A,4,3.7444,296,,,,,,,,,
210171K,A,4,B+,3.3,B+,3.3,,,,,B+,3.3,3.4556,457,,,,,,,,,
210172N,A+,4,A,4,A-,3.7,,,,,A,4,3.9333,121,,,,,,,,,
210173T,A,4,A+,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210174X,A+,4,A,4,A,4,,,,,A+,4,4.0000,1,,,,,,,,,
210175C,A,4,A-,3.7,A,4,,,,,A+,4,3.9000,156,,,,,,,,,
210176F,A+,4,A,4,A-,3.7,,,,,A,4,3.9333,121,,,,,,,,,
210177J,F,0,F,0,F,0,,,,,F,0,0.0000,738,,,,,,,,,
210178M,A+,4,A,4,A-,3.7,,,,,A+,4,3.9333,121,,,,,,,,,
210179R,A,4,A,4,B+,3.3,,,,,A,4,3.8444,199,,,,,,,,,
210180L,A+,4,A,4,A-,3.7,,,,,A,4,3.9333,121,,,,,,,,,
210181P,A,4,B+,3.3,A-,3.7,,,,,A,4,3.7000,316,,,,,,,,,
210182U,A,4,B,3,B-,2.7,,,,,A-,3.7,3.3111,529,,,,,,,,,
210183A,A-,3.7,A-,3.7,A,4,,,,,A,4,3.8333,214,,,,,,,,,
210184D,A+,4,B,3,B,3,,,,,B+,3.3,3.2889,535,,,,,,,,,
210185G,A-,3.7,B-,2.7,B+,3.3,,,,,B+,3.3,3.1889,577,,,,,,,,,
210186K,A,4,A,4,A,4,,,,,A-,3.7,3.9333,121,,,,,,,,,
210187N,C+,2.3,B-,2.7,C+,2.3,,,,,C+,2.3,2.4333,700,,,,,,,,,
210188T,A,4,B,3,B-,2.7,,,,,B+,3.3,3.2222,558,,,,,,,,,
210189X,A+,4,A,4,B+,3.3,,,,,A-,3.7,3.7778,244,,,,,,,,,
210190R,A,4,A,4,B+,3.3,,,,,A,4,3.8444,199,,,,,,,,,
210191V,A-,3.7,B+,3.3,B,3,,,,,A+,4,3.4778,445,,,,,,,,,
210192B,A,4,A,4,A+,4,,,,,A,4,4.0000,1,,,,,,,,,
210193E,C,2,I-we,0,I-we,0,,,,,C+,2.3,0.9556,734,,,,,,,,,
210194H,A-,3.7,A-,3.7,A,4,,,,,A,4,3.8333,214,,,,,,,,,
210195L,A-,3.7,A,4,A+,4,,,,,A+,4,3.9333,121,,,,,,,,,
210196P,B,3,B,3,A,4,,,,,A,4,3.4444,468,,,,,,,,,
210197U,A-,3.7,A-,3.7,A-,3.7,,,,,A+,4,3.7667,263,,,,,,,,,
210198A,A,4,A,4,A+,4,,,,,A+,4,4.0000,1,,,,,,,,,
210199D,A+,4,A-,3.7,A,4,,,,,A,4,3.9000,156,,,,,,,,,
210200C,A+,4,A+,4,A+,4,,,,,A+,4,4.0000,1,,,,,,,,,
210201F,A+,4,A,4,B+,3.3,,,,,A-,3.7,3.7778,244,,,,,,,,,
210202J,A+,4,A,4,A+,4,,,,,A,4,4.0000,1,,,,,,,,,
210203M,A,4,B,3,B-,2.7,,,,,A,4,3.3778,501,,,,,,,,,
210204R,A+,4,B+,3.3,A-,3.7,,,,,A,4,3.7000,316,,,,,,,,,
210205V,A+,4,A-,3.7,A,4,,,,,A,4,3.9000,156,,,,,,,,,
210206B,A+,4,A,4,A,4,,,,,A-,3.7,3.9333,121,,,,,,,,,
210207E,A+,4,A,4,A,4,,,,,A+,4,4.0000,1,,,,,,,,,
210208H,B,3,C+,2.3,B-,2.7,,,,,C+,2.3,2.5444,692,,,,,,,,,
210209L,A+,4,A-,3.7,B,3,,,,,A,4,3.6778,341,,,,,,,,,
210210G,A+,4,A-,3.7,B+,3.3,,,,,A+,4,3.7444,296,,,,,,,,,
210211K,B,3,B+,3.3,B+,3.3,,,,,B+,3.3,3.2333,554,,,,,,,,,
210212N,A+,4,A-,3.7,A,4,,,,,A,4,3.9000,156,,,,,,,,,
210213T,A+,4,A-,3.7,B+,3.3,,,,,A,4,3.7444,296,,,,,,,,,
210214X,A-,3.7,B+,3.3,B,3,,,,,B+,3.3,3.3222,521,,,,,,,,,
210215C,A-,3.7,B+,3.3,A,4,,,,,A,4,3.7000,316,,,,,,,,,
210216F,A+,4,A,4,A,4,,,,,A+,4,4.0000,1,,,,,,,,,
210217J,A+,4,A,4,A+,4,,,,,A+,4,4.0000,1,,,,,,,,,
210218M,A+,4,A+,4,A,4,,,,,A+,4,4.0000,1,,,,,,,,,
210219R,A,4,A-,3.7,A,4,,,,,A,4,3.9000,156,,,,,,,,,
210220L,B-,2.7,D,1,B,3,,,,,B,3,2.2667,708,,,,,,,,,
210221P,A,4,B-,2.7,A-,3.7,,,,,A,4,3.5000,439,,,,,,,,,
210222U,A,4,A,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210223A,F,0,F,0,F,0,,,,,F,0,0.0000,738,,,,,,,,,
210224D,A+,4,A,4,A,4,,,,,A+,4,4.0000,1,,,,,,,,,
210225G,A-,3.7,B-,2.7,B+,3.3,,,,,A-,3.7,3.2778,540,,,,,,,,,
210226K,B,3,B+,3.3,B+,3.3,,,,,B,3,3.1667,585,,,,,,,,,
210227N,B,3,B,3,A-,3.7,,,,,A-,3.7,3.3111,529,,,,,,,,,
210228T,B+,3.3,B,3,B-,2.7,,,,,B-,2.7,2.9333,630,,,,,,,,,
210229X,A+,4,A-,3.7,B+,3.3,,,,,A,4,3.7444,296,,,,,,,,,
210230R,A,4,I-we,0,B-,2.7,,,,,A-,3.7,2.3111,705,,,,,,,,,
210231V,B,3,B-,2.7,B-,2.7,,,,,B-,2.7,2.7667,660,,,,,,,,,
210232B,C+,2.3,I-we,0,I-we,0,,,,,I-ca,0,0.5111,737,,,,,,,,,
210233E,C,2,C+,2.3,B-,2.7,,,,,C,2,2.2556,710,,,,,,,,,
210234H,A+,4,A-,3.7,A,4,,,,,A,4,3.9000,156,,,,,,,,,
210235L,B,3,C+,2.3,A,4,,,,,A,4,3.2111,573,,,,,,,,,
210236P,A+,4,A+,4,A+,4,,,,,A+,4,4.0000,1,,,,,,,,,
210237U,A,4,B+,3.3,A,4,,,,,A,4,3.7667,263,,,,,,,,,
210238A,A+,4,A-,3.7,A,4,,,,,A,4,3.9000,156,,,,,,,,,
210239D,A,4,A-,3.7,B,3,,,,,A,4,3.6778,341,,,,,,,,,
210240X,A,4,B+,3.3,A,4,,,,,A-,3.7,3.7000,316,,,,,,,,,
210241C,B,3,B,3,B,3,,,,,B+,3.3,3.0667,607,,,,,,,,,
210242F,A,4,A,4,A+,4,,,,,A,4,4.0000,1,,,,,,,,,
210243J,A+,4,A-,3.7,A,4,,,,,A-,3.7,3.8333,214,,,,,,,,,
210244M,B,3,B+,3.3,B,3,,,,,B,3,3.1000,601,,,,,,,,,
210245R,A,4,B,3,A,4,,,,,B+,3.3,3.5111,431,,,,,,,,,
210246V,A,4,B,3,B+,3.3,,,,,A-,3.7,3.4444,468,,,,,,,,,
210247B,A+,4,B+,3.3,A,4,,,,,A,4,3.7667,263,,,,,,,,,
210248E,A,4,B+,3.3,A-,3.7,,,,,A,4,3.7000,316,,,,,,,,,
210249H,A,4,A-,3.7,A-,3.7,,,,,A-,3.7,3.7667,263,,,,,,,,,
210250D,A+,4,A,4,A,4,,,,,A+,4,4.0000,1,,,,,,,,,
210251G,B-,2.7,B+,3.3,A,4,,,,,A,4,3.4778,445,,,,,,,,,
210252K,A-,3.7,B+,3.3,A,4,,,,,A,4,3.7000,316,,,,,,,,,
210253N,A+,4,A,4,A-,3.7,,,,,A,4,3.9333,121,,,,,,,,,
210254T,A,4,A,4,B+,3.3,,,,,A+,4,3.8444,199,,,,,,,,,
210255X,A,4,B+,3.3,A-,3.7,,,,,A,4,3.7000,316,,,,,,,,,
210256C,B-,2.7,A-,3.7,A,4,,,,,A,4,3.6111,372,,,,,,,,,
210257F,A,4,A-,3.7,A+,4,,,,,A+,4,3.9000,156,,,,,,,,,
210258J,A,4,A,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210259M,A-,3.7,C,2,B+,3.3,,,,,C+,2.3,2.7333,667,,,,,,,,,
210260H,B+,3.3,B-,2.7,A,4,,,,,B,3,3.1889,577,,,,,,,,,
210261L,A,4,B,3,B+,3.3,,,,,B+,3.3,3.3556,515,,,,,,,,,
210262P,A,4,A+,4,A,4,,,,,A+,4,4.0000,1,,,,,,,,,
210263U,A-,3.7,C+,2.3,C+,2.3,,,,,B+,3.3,2.8333,642,,,,,,,,,
210264A,A,4,B,3,A,4,,,,,A,4,3.6667,354,,,,,,,,,
210265D,A,4,B+,3.3,A,4,,,,,A,4,3.7667,263,,,,,,,,,
210266G,A,4,A-,3.7,B,3,,,,,A,4,3.6778,341,,,,,,,,,
210267K,A+,4,A,4,A-,3.7,,,,,A+,4,3.9333,121,,,,,,,,,
210268N,A,4,C+,2.3,A-,3.7,,,,,B+,3.3,3.2111,573,,,,,,,,,
210269T,A,4,B-,2.7,B+,3.3,,,,,A,4,3.4111,483,,,,,,,,,
210270M,B,3,B+,3.3,C+,2.3,,,,,A-,3.7,3.1000,601,,,,,,,,,
210271R,A,4,B,3,A,4,,,,,A,4,3.6667,354,,,,,,,,,
210272V,B+,3.3,A,4,A+,4,,,,,A,4,3.8444,199,,,,,,,,,
210273B,A+,4,A+,4,A+,4,,,,,A,4,4.0000,1,,,,,,,,,
210275H,A+,4,B+,3.3,A,4,,,,,A,4,3.7667,263,,,,,,,,,
210276L,B,3,B+,3.3,A-,3.7,,,,,A,4,3.4778,445,,,,,,,,,
210277P,A+,4,A-,3.7,B+,3.3,,,,,A,4,3.7444,296,,,,,,,,,
210278U,A-,3.7,B,3,B,3,,,,,A-,3.7,3.3111,529,,,,,,,,,
210279A,A,4,B,3,A,4,,,,,A,4,3.6667,354,,,,,,,,,
210280T,A-,3.7,B,3,A-,3.7,,,,,A,4,3.5333,420,,,,,,,,,
